from_stop_id,to_stop_id,from_route_id,to_route_id,from_trip_id,to_trip_id,transfer_type,min_transfer_time
2861893,2861894,,,331293744,325550498,0,
2861893,2861894,,,341107997,338806994,0,
2861893,2861894,,,313317311,328325430,0,
2861893,2861894,,,316800260,325545944,0,
2861893,2861894,,,341106878,313316036,0,
2861893,2861894,,,313314386,338804329,0,
2861893,2861894,,,328329680,341105781,0,
2861893,2861894,,,313313870,325550498,0,
2861893,2861894,,,313309908,313315899,0,
2861893,2861894,,,313314411,338806994,0,
2861893,2861894,,,313311919,313318084,0,
2861893,2861894,,,343873333,313314932,0,
2861893,2861894,,,319692390,328332903,0,
2861893,2861894,,,341106905,328336400,0,
2861893,2861894,,,341107688,313311737,0,
2861893,2861894,,,313313870,341103745,0,
2861893,2861894,,,341108615,328325994,0,
2861893,2861894,,,316800260,313313024,0,
2861893,2861894,,,313314572,342675175,0,
2861893,2861894,,,313314924,328326548,0,
2861893,2861894,,,331295171,313315277,0,
2861893,2861894,,,338801730,328326872,0,
2861893,2861894,,,341106785,328326548,0,
2861893,2861894,,,313312655,341107305,0,
2861893,2861894,,,341105841,341105454,0,
2861893,2861894,,,340738552,313313145,0,
2861893,2861894,,,341105838,328330721,0,
2861893,2861894,,,338805328,340721514,0,
2861893,2861894,,,313318605,313313179,0,
2861893,2861894,,,313316573,328330721,0,
2861893,2861894,,,313313672,325551534,0,
2861893,2861894,,,313314924,338800551,0,
2861893,2861894,,,341106053,342674598,0,
2861893,2861894,,,331293726,313320329,0,
2861893,2861894,,,342676812,313313944,0,
2861893,2861894,,,343873365,313320329,0,
2861893,2861894,,,313319562,342673114,0,
2861893,2861894,,,343874048,328336822,0,
2861893,2861894,,,343870932,340721156,0,
2861893,2861894,,,313318714,313311841,0,
2861893,2861894,,,342676226,313311841,0,
2861893,2861894,,,313311068,338803920,0,
2861893,2861894,,,313314346,343870447,0,
2861893,2861894,,,328330105,313320022,0,
2861893,2861894,,,325546287,325549430,0,
2861893,2861894,,,313311879,313320329,0,
2861893,2861894,,,313315463,328331325,0,
2861893,2861894,,,313310674,325551534,0,
